file_name,objective value
RC_N40_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,99.99744
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no1,334.64964
RC_N40_R100_H100_h60_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,283.22002
RC_N40_R100_H100_h40_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,210.46452
RC_N40_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,228.82898
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no3,388.05867
RC_N40_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no5,210.6592
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no4,329.60796
RC_N40_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,227.57786
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no5,385.13029
RC_N40_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,211.55288
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no2,374.00873
RC_N40_R100_H100_h60_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,288.92801
RC_N40_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,90.63664
RC_N40_R100_H100_h40_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,203.77222
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no3,282.67857
RC_N40_R100_H100_h60_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,328.9072
RC_N40_R100_H100_h80_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no4,352.56194
RC_N40_R100_H100_h60_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,296.12387
RC_N40_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,103.76409
RC_N40_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,112.6192
